subject,task,acq,run,tc,roi,betas,n_repeats
sub-01,interdms,ctg_ABBA,01,3110211.0,47s,"[0.8906322121620178, 1.4790431261062622, 1.0325356721878052, 1.0956223011016846]",4
sub-01,interdms,loc_ABBA,01,13110103.0,47s,"[0.47426071763038635, 0.47045961022377014, 0.12773869931697845, 0.29913246631622314]",4
sub-01,interdms,loc_ABBA,01,3020203.0,47s,"[1.4381691217422485, 1.4052619934082031, 0.46244165301322937, 0.45153436064720154]",4
sub-01,interdms,loc_ABBA,01,130110.0,47s,"[0.8735101819038391, 1.2744991779327393, 0.3578513264656067, 0.48030710220336914]",4
sub-01,interdms,loc_ABBA,01,001310.0,47s,"[0.8495107889175415, 1.7932647466659546, 0.40817368030548096, 0.39652907848358154]",4
sub-01,interdms,loc_ABBA,01,121211.0,47s,"[0.296059787273407, 0.08589036762714386, 0.4881000518798828, 0.6632625460624695]",4
sub-01,interdms,loc_ABBA,01,11021200.0,47s,"[1.7559187412261963, 1.3200160264968872, 0.5900772213935852, 0.46364519000053406]",4
sub-01,interdms,loc_ABBA,01,3110211.0,47s,"[0.8436575531959534, 0.6832142472267151, 0.5740665793418884, 0.699501633644104]",4
sub-01,1back,ctg,01,1200130101,47s,"[0.1728106290102005, 0.21752235293388367, 0.4289127290248871, 0.5589972138404846, 0.5919765830039978]",4
sub-01,1back,ctg,01,1003110312,47s,"[0.4005945324897766, -0.8175605535507202, -0.9820187091827393, -1.0360300540924072, -1.0300449132919312]",4
sub-01,1back,ctg,01,1001110112,47s,"[0.6242310404777527, 0.4101719260215759, 0.5918543338775635, 0.6045273542404175, 0.5862943530082703]",4
sub-01,1back,ctg,01,3131010111,47s,"[0.16080978512763977, -0.9971029758453369, -0.9580579996109009, -0.6600022912025452, -0.7206922173500061]",4
sub-01,1back,ctg,01,3001000110,47s,"[0.5595334768295288, -0.009862284176051617, 0.03411749005317688, 0.06026220694184303, 0.17620965838432312]",4
sub-01,1back,ctg,01,2100211021,47s,"[-0.010950449854135513, 0.1304474025964737, 0.13379937410354614, 0.03866729512810707, 0.1319405883550644]",4
sub-01,1back,ctg,01,1202130303,47s,"[0.7408031821250916, -0.6811071038246155, -0.8612009286880493, -1.155961513519287, -1.1813933849334717]",4
sub-01,1back,ctg,01,1020103011,47s,"[0.2855799198150635, 0.09072825312614441, 0.3371092677116394, 0.1648741513490677, 0.26834458112716675]",4
sub-01,1back,ctg,01,0100020003,47s,"[0.57925945520401, 0.32558324933052063, 0.3083341717720032, 0.5578299164772034, 0.5675667524337769]",4
sub-01,1back,ctg,01,1130202030,47s,"[1.0062458515167236, 0.7458173632621765, 0.6422666311264038, 0.45141175389289856, 0.5426163673400879]",4
sub-01,ctxdm,col,02,31110.0,47s,"[1.1345587968826294, 0.5368366241455078, 0.4711466133594513]",4
sub-01,ctxdm,col,02,121311.0,47s,"[0.048131078481674194, 0.38644739985466003, 0.5142990350723267]",4
sub-01,ctxdm,col,02,10010.0,47s,"[0.4084792137145996, 0.3230746388435364, 0.4432995319366455]",4
sub-01,ctxdm,col,02,31002.0,47s,"[0.9898600578308105, 0.61076420545578, 0.3633764386177063]",1
sub-01,ctxdm,col,02,110100.0,47s,"[1.3318663835525513, -0.6414395570755005, -0.8845005035400391]",1
sub-01,ctxdm,col,02,100103.0,47s,"[-0.12651269137859344, -0.37482374906539917, -0.4283320903778076]",4
sub-01,ctxdm,col,02,0302.0,47s,"[-0.09633149951696396, -0.5149720907211304, -0.5435934662818909]",4
sub-01,ctxdm,col,02,120113.0,47s,"[0.7778680324554443, -0.5540141463279724, -0.6545441746711731]",4
sub-01,ctxdm,col,02,30002.0,47s,"[-1.2090132236480713, -1.0878664255142212, -0.7942590713500977]",1
sub-01,ctxdm,col,02,120212.0,47s,"[0.38328492641448975, 0.15162821114063263, 0.3305809199810028]",4
sub-01,ctxdm,col,02,111013.0,47s,"[3.1383566856384277, 1.2977687120437622, 1.2592599391937256]",1
sub-01,ctxdm,col,02,11213.0,47s,"[0.3072044253349304, 0.36383023858070374, 0.6560801863670349]",4
sub-01,ctxdm,col,02,10003.0,47s,"[0.37309882044792175, 0.1405758410692215, 0.1073119044303894]",4
sub-01,ctxdm,col,02,110201.0,47s,"[-0.2955174446105957, -0.4670134484767914, -0.3201165199279785]",3
sub-01,ctxdm,col,02,11101.0,47s,"[0.46529415249824524, -0.1781139373779297, -0.26140886545181274]",3
sub-01,ctxdm,col,02,1003.0,47s,"[0.41578900814056396, 0.18977375328540802, 0.21416445076465607]",3
sub-01,ctxdm,col,02,101213.0,47s,"[1.385180115699768, 0.339836448431015, 0.2990964353084564]",3
sub-01,ctxdm,lco,02,31110.0,47s,"[0.0334971658885479, -0.47076380252838135, -0.5913742780685425]",4
sub-01,ctxdm,lco,02,121311.0,47s,"[0.07172290235757828, -0.36110764741897583, -0.3099997341632843]",4
sub-01,ctxdm,lco,02,10010.0,47s,"[0.06231016293168068, 0.12801331281661987, 0.41180625557899475]",4
sub-01,ctxdm,lco,02,31002.0,47s,"[0.5323060154914856, 0.22858044505119324, 0.26896920800209045]",1
sub-01,ctxdm,lco,02,110100.0,47s,"[-0.5179610848426819, 0.23067909479141235, 0.060901183634996414]",1
sub-01,ctxdm,lco,02,100103.0,47s,"[0.6103694438934326, 0.001462791464291513, -0.20122073590755463]",4
sub-01,ctxdm,lco,02,0302.0,47s,"[0.6660534143447876, 0.21082530915737152, 0.13533435761928558]",4
sub-01,ctxdm,lco,02,120113.0,47s,"[0.4462250769138336, 0.21975326538085938, 0.41858068108558655]",4
sub-01,ctxdm,lco,02,30002.0,47s,"[0.7162169218063354, -0.45415282249450684, -0.44962409138679504]",1
sub-01,ctxdm,lco,02,120212.0,47s,"[0.6787769794464111, 0.4165586829185486, 0.317813515663147]",4
sub-01,ctxdm,lco,02,111013.0,47s,"[-0.03494139388203621, -0.11839848756790161, -0.1900787502527237]",1
sub-01,ctxdm,lco,02,11213.0,47s,"[0.4585293233394623, -0.0661177784204483, -0.2062530219554901]",4
sub-01,ctxdm,lco,02,10003.0,47s,"[0.43042463064193726, 0.3815179467201233, 0.41089993715286255]",4
sub-01,ctxdm,lco,02,110201.0,47s,"[1.1288583278656006, 1.1184971332550049, 1.1977555751800537]",3
sub-01,ctxdm,lco,02,11101.0,47s,"[0.16216784715652466, 0.8777722716331482, 1.004087209701538]",3
sub-01,ctxdm,lco,02,1003.0,47s,"[0.233673095703125, 0.27397072315216064, 0.4645625650882721]",3
sub-01,ctxdm,lco,02,101213.0,47s,"[0.09162057191133499, 0.4900512099266052, 0.5350055694580078]",3
sub-01,interdms,loc_ABAB,01,13110103.0,47s,"[0.8637672066688538, 0.7373179197311401, -0.06368784606456757, -0.14120028913021088]",4
sub-01,interdms,loc_ABAB,01,3020203.0,47s,"[0.5250175595283508, 0.7459223866462708, 0.038075629621744156, -0.3537636995315552]",4
sub-01,interdms,loc_ABAB,01,130110.0,47s,"[-0.1434393972158432, -0.5658543705940247, -0.639573872089386, -0.5819126963615417]",4
sub-01,interdms,loc_ABAB,01,001310.0,47s,"[1.0312918424606323, 1.0812963247299194, -0.1663181185722351, -0.07819166034460068]",4
sub-01,interdms,loc_ABAB,01,121211.0,47s,"[0.08231567591428757, 0.3088250160217285, -0.6137508749961853, -0.5044010877609253]",4
sub-01,interdms,loc_ABAB,01,11021200.0,47s,"[0.6465989351272583, 1.1127536296844482, 0.148713618516922, 0.3836517333984375]",4
sub-01,interdms,loc_ABAB,01,3110211.0,47s,"[1.2193089723587036, 1.0164581537246704, -0.11833330988883972, -0.12381528317928314]",4
sub-01,ctxdm,lco,01,101303.0,47s,"[0.07939602434635162, 0.3925633728504181, 0.5141907930374146]",4
sub-01,ctxdm,lco,01,30113.0,47s,"[1.0856043100357056, 0.5586916208267212, 0.5191841125488281]",4
sub-01,ctxdm,lco,01,120211.0,47s,"[0.08993297815322876, 0.41193652153015137, 0.4475899040699005]",4
sub-01,ctxdm,lco,01,100212.0,47s,"[0.6192948222160339, 0.4495967626571655, 0.5040168166160583]",4
sub-01,ctxdm,lco,01,101213.0,47s,"[0.0982576236128807, -0.030779555439949036, -0.15690095722675323]",1
sub-01,ctxdm,lco,01,1003.0,47s,"[-0.622159481048584, -0.5044591426849365, -0.5046377778053284]",1
sub-01,ctxdm,lco,01,10013.0,47s,"[0.6001154184341431, 0.49709370732307434, 0.3227347731590271]",4
sub-01,ctxdm,lco,01,120002.0,47s,"[0.36406564712524414, 0.33691492676734924, 0.2871912717819214]",4
sub-01,ctxdm,lco,01,0001.0,47s,"[0.5312560200691223, 0.10508029907941818, 0.1631237417459488]",4
sub-01,ctxdm,lco,01,31213.0,47s,"[0.7415316700935364, 0.2709052264690399, 0.3175182342529297]",4
sub-01,ctxdm,lco,01,11101.0,47s,"[0.049805060029029846, 0.0639616921544075, 0.026825448498129845]",1
sub-01,ctxdm,lco,01,110201.0,47s,"[-0.020860770717263222, -0.38747134804725647, -0.08392607420682907]",1
sub-01,ctxdm,lco,01,30102.0,47s,"[0.25175583362579346, 0.32046911120414734, 0.4015302360057831]",4
sub-01,ctxdm,lco,01,30002.0,47s,"[-0.31503018736839294, 0.3982754945755005, 0.75885409116745]",3
sub-01,ctxdm,lco,01,110100.0,47s,"[1.1251311302185059, 0.8551168441772461, 0.8145186305046082]",3
sub-01,ctxdm,lco,01,111013.0,47s,"[0.06042168289422989, 0.749744713306427, 0.8707197904586792]",3
sub-01,ctxdm,lco,01,31002.0,47s,"[0.47558289766311646, 0.5864530801773071, 0.6878949403762817]",3
sub-01,1back,obj,01,1200130101,46,"[0.16260695457458496, -0.4164235293865204, -0.685114860534668, -0.7041606903076172, -0.8752996325492859]",4
sub-01,1back,obj,01,3110312031,46,"[0.07815732061862946, -0.6721189022064209, -0.7122893929481506, -0.9715698957443237, -1.0059722661972046]",4
sub-01,1back,obj,01,1110112011,46,"[0.5899466872215271, 0.2521967887878418, 0.0401214063167572, -0.03844212740659714, -0.02554016374051571]",4
sub-01,1back,obj,01,1310101110,46,"[0.4306483566761017, 0.027518615126609802, -0.18031010031700134, -0.38569366931915283, -0.4529511034488678]",4
sub-01,1back,obj,01,1000110012,46,"[0.27834856510162354, -0.65160071849823, -0.40793681144714355, -0.45769909024238586, -0.45640242099761963]",4
sub-01,1back,obj,01,1002110212,46,"[-0.5813934206962585, -1.0512441396713257, -0.9669492840766907, -1.1365646123886108, -1.3031742572784424]",4
sub-01,1back,obj,01,2130303100,46,"[-0.6231485605239868, -1.0987532138824463, -1.0054802894592285, -0.8414202928543091, -0.7146748900413513]",4
sub-01,1back,obj,01,2010301100,46,"[-0.05289075896143913, -0.8715267181396484, -1.0048023462295532, -1.0176304578781128, -0.8232660889625549]",4
sub-01,1back,obj,01,1000200030,46,"[0.2078348696231842, -0.18799911439418793, 0.014478377066552639, 0.07255037128925323, -0.09803289920091629]",4
sub-01,1back,obj,01,1302020302,46,"[-0.11172907054424286, -0.8076297044754028, -0.699264645576477, -0.6469295620918274, -0.48701372742652893]",4
sub-01,interdms,ctg_ABAB,01,13110103.0,46,"[0.01822728104889393, 0.5405863523483276, 0.17680765688419342, -0.0678028091788292]",4
sub-01,interdms,ctg_ABAB,01,3020203.0,46,"[-0.08817844092845917, -0.6678047776222229, -0.39747482538223267, -0.4115719795227051]",4
sub-01,interdms,ctg_ABAB,01,130110.0,46,"[0.6675925850868225, 0.8737761378288269, -0.4499324858188629, -0.6974068284034729]",4
sub-01,interdms,ctg_ABAB,01,001310.0,46,"[0.23943614959716797, -0.07424650341272354, -0.4644835591316223, -0.40474823117256165]",4
sub-01,interdms,ctg_ABAB,01,121211.0,46,"[0.36277860403060913, -0.6090835928916931, -0.8074222803115845, -0.5786048173904419]",4
sub-01,interdms,ctg_ABAB,01,11021200.0,46,"[-0.3158872723579407, -0.01447321381419897, 0.06182657182216644, 0.18006330728530884]",4
sub-01,interdms,ctg_ABAB,01,3110211.0,46,"[0.2519095540046692, 0.4897483289241791, 0.08059874176979065, -0.25029706954956055]",4
sub-01,interdms,obj_ABBA,01,13110103.0,46,"[0.700732946395874, 0.4886801838874817, 0.1774839609861374, 0.04291223734617233]",4
sub-01,interdms,obj_ABBA,01,3020203.0,46,"[0.5387946963310242, 0.8873066306114197, -0.06233499199151993, 0.037748921662569046]",4
sub-01,interdms,obj_ABBA,01,130110.0,46,"[1.1427080631256104, 0.8578563332557678, 0.06596691906452179, 0.21946100890636444]",4
sub-01,interdms,obj_ABBA,01,001310.0,46,"[0.9705911874771118, 0.7570866346359253, 0.3696303963661194, 0.35885971784591675]",4
sub-01,interdms,obj_ABBA,01,121211.0,46,"[0.2048894166946411, 0.19384104013442993, 0.16702356934547424, 0.41375932097435]",4
sub-01,interdms,obj_ABBA,01,11021200.0,46,"[0.39419662952423096, 0.9537495374679565, 0.2273493856191635, 0.20512373745441437]",4
sub-01,interdms,obj_ABBA,01,3110211.0,46,"[0.595801055431366, 0.8048183917999268, 0.3215397298336029, 0.14511580765247345]",4
sub-01,ctxdm,col,01,101303.0,46,"[0.5133882761001587, 0.3663092255592346, 0.17408928275108337]",4
sub-01,ctxdm,col,01,30113.0,46,"[0.49981626868247986, -0.11112648248672485, -0.25027647614479065]",4
sub-01,ctxdm,col,01,120211.0,46,"[0.8635253310203552, 0.13833016157150269, 0.1494908332824707]",4
sub-01,ctxdm,col,01,100212.0,46,"[0.8375449180603027, -0.301575243473053, -0.4829977750778198]",4
sub-01,ctxdm,col,01,101213.0,46,"[-1.1386616230010986, -1.1737197637557983, -1.0341286659240723]",1
sub-01,ctxdm,col,01,1003.0,46,"[-0.9397898316383362, -0.8066195845603943, -0.9800916910171509]",1
sub-01,ctxdm,col,01,10013.0,46,"[-0.18442927300930023, -0.5775549411773682, -0.6584226489067078]",4
sub-01,ctxdm,col,01,120002.0,46,"[0.6215841770172119, -0.32753196358680725, -0.4721343517303467]",4
sub-01,ctxdm,col,01,0001.0,46,"[0.2950277626514435, -0.11193551123142242, -0.2674436867237091]",4
sub-01,ctxdm,col,01,31213.0,46,"[0.4504022002220154, -0.6133390069007874, -0.6404134631156921]",4
sub-01,ctxdm,col,01,11101.0,46,"[-0.044400833547115326, -0.6263316869735718, -0.7941988110542297]",1
sub-01,ctxdm,col,01,110201.0,46,"[-0.26059433817863464, -0.47483307123184204, -0.16857951879501343]",1
sub-01,ctxdm,col,01,30102.0,46,"[1.0965576171875, -0.044247835874557495, -0.05487660691142082]",4
sub-01,ctxdm,col,01,30002.0,46,"[0.48027485609054565, -0.19636347889900208, -0.4359627068042755]",3
sub-01,ctxdm,col,01,110100.0,46,"[0.5630984902381897, 0.11176054179668427, 0.2559284567832947]",3
sub-01,ctxdm,col,01,111013.0,46,"[0.2096773386001587, 0.11672105640172958, -0.07026052474975586]",3
sub-01,ctxdm,col,01,31002.0,46,"[0.5377525687217712, 0.36298826336860657, 0.340616375207901]",3
sub-01,interdms,obj_ABAB,01,13110103.0,46,"[0.10763268172740936, 0.21101582050323486, 0.03492069989442825, 0.1265096664428711]",4
sub-01,interdms,obj_ABAB,01,3020203.0,46,"[0.585252046585083, 0.932981014251709, 0.2295243740081787, 0.2841472625732422]",4
sub-01,interdms,obj_ABAB,01,130110.0,46,"[0.8388391733169556, -0.0673421174287796, 0.17619872093200684, 0.3173980414867401]",4
sub-01,interdms,obj_ABAB,01,001310.0,46,"[0.4494704604148865, 0.6567288041114807, 0.3538910448551178, 0.28690025210380554]",4
sub-01,interdms,obj_ABAB,01,121211.0,46,"[0.6915530562400818, 1.1831845045089722, 0.3958195745944977, 0.04510950669646263]",4
sub-01,interdms,obj_ABAB,01,11021200.0,46,"[0.11383849382400513, 0.4954129755496979, 0.28527942299842834, 0.36646249890327454]",4
sub-01,interdms,obj_ABAB,01,3110211.0,46,"[0.3789830207824707, 0.7659410238265991, 0.17718535661697388, 0.12346181273460388]",4
sub-01,1back,loc,01,1100120013,46,"[0.6478940844535828, 0.16061174869537354, 0.19673651456832886, 0.25792479515075684, 0.27361205220222473]",4
sub-01,1back,loc,01,3100311031,46,"[0.1918306052684784, -0.03078301064670086, -0.18873485922813416, -0.5730077028274536, -0.7920593023300171]",4
sub-01,1back,loc,01,1100111011,46,"[0.06680577993392944, -0.8766211867332458, -0.8001421093940735, -0.559792697429657, -0.47696051001548767]",4
sub-01,1back,loc,01,1203131010,46,"[-0.13875991106033325, -1.2809096574783325, -1.4794330596923828, -1.6125198602676392, -1.6634808778762817]",4
sub-01,1back,loc,01,0300100011,46,"[-0.07317790389060974, -0.8351714015007019, -0.9303956627845764, -0.8078685998916626, -0.6401636600494385]",4
sub-01,1back,loc,01,3021002110,46,"[0.3918541371822357, -0.391095906496048, -0.5200984477996826, -0.3355853855609894, -0.47825026512145996]",4
sub-01,1back,loc,01,2120213030,46,"[-0.7841202020645142, -1.015765905380249, -0.8975297212600708, -0.9157702326774597, -1.2084912061691284]",4
sub-01,1back,loc,01,1010201030,46,"[-0.129164457321167, -1.441081166267395, -1.6480615139007568, -1.6652950048446655, -1.6310831308364868]",4
sub-01,1back,loc,01,0001000200,46,"[-0.19546644389629364, -1.0714569091796875, -1.2962837219238281, -1.2280478477478027, -1.5424959659576416]",4
sub-01,1back,loc,01,1201130202,46,"[-0.42469021677970886, -0.7784609198570251, -0.7622659802436829, -0.4065383970737457, -0.42638975381851196]",4
sub-01,interdms,ctg_ABBA,01,13110103.0,46,"[1.9358876943588257, 1.6706279516220093, 0.013086008839309216, -0.34316831827163696]",4
sub-01,interdms,ctg_ABBA,01,3020203.0,46,"[0.8324965238571167, 0.9262336492538452, -0.4637923836708069, -0.6316395998001099]",4
sub-01,interdms,ctg_ABBA,01,130110.0,46,"[-0.32707998156547546, -0.20594094693660736, -0.7048338055610657, -1.0007787942886353]",4
sub-01,interdms,ctg_ABBA,01,001310.0,46,"[0.33083170652389526, 0.011986997909843922, -0.5383853912353516, -0.6189881563186646]",4
sub-01,interdms,ctg_ABBA,01,121211.0,46,"[-0.43370774388313293, -0.3845593333244324, -0.6926838755607605, -0.9800962209701538]",4
sub-01,interdms,ctg_ABBA,01,11021200.0,46,"[0.10998878628015518, -0.12034574896097183, -0.22260910272598267, 0.0007814937853254378]",4
sub-01,interdms,ctg_ABBA,01,3110211.0,46,"[0.2185959666967392, -0.3553799092769623, -0.5072733163833618, -0.39527082443237305]",4
sub-01,interdms,loc_ABBA,01,13110103.0,46,"[1.7951706647872925, 2.377635955810547, 0.3860558867454529, 0.1890900582075119]",4
sub-01,interdms,loc_ABBA,01,3020203.0,46,"[-0.22967639565467834, -0.0727124810218811, 0.16602648794651031, 0.08710246533155441]",4
sub-01,interdms,loc_ABBA,01,130110.0,46,"[0.5280649065971375, 0.2297791689634323, -0.2597687244415283, -0.17114980518817902]",4
sub-01,interdms,loc_ABBA,01,001310.0,46,"[0.06618841737508774, 0.20456838607788086, 0.27799245715141296, 0.3014724850654602]",4
sub-01,interdms,loc_ABBA,01,121211.0,46,"[0.021139223128557205, 0.365750253200531, -0.014187038876116276, -0.3644222021102905]",4
sub-01,interdms,loc_ABBA,01,11021200.0,46,"[0.16536179184913635, 0.7627339363098145, 0.2636881172657013, 0.20570163428783417]",4
sub-01,interdms,loc_ABBA,01,3110211.0,46,"[0.5647597908973694, 1.3451931476593018, -0.12934622168540955, -0.21369820833206177]",4
sub-01,1back,ctg,01,1200130101,46,"[0.19922223687171936, -0.5010056495666504, -0.5525366067886353, -0.6303648948669434, -0.5181214213371277]",4
sub-01,1back,ctg,01,1003110312,46,"[-0.35489973425865173, -0.5051413178443909, -0.28557920455932617, -0.5198283195495605, -0.2107224315404892]",4
sub-01,1back,ctg,01,1001110112,46,"[-0.5778878927230835, -0.3730524182319641, -0.5045117735862732, -0.68658846616745, -0.879213273525238]",4
sub-01,1back,ctg,01,3131010111,46,"[0.3760054111480713, -0.4176582098007202, -0.6205443143844604, -0.7466106414794922, -0.6959184408187866]",4
sub-01,1back,ctg,01,3001000110,46,"[-0.048843320459127426, -0.7606813311576843, -0.8015421628952026, -1.1820369958877563, -0.9753021001815796]",4
sub-01,1back,ctg,01,2100211021,46,"[-0.678555965423584, -0.9541029334068298, -1.1118630170822144, -1.2069520950317383, -1.1703461408615112]",4
sub-01,1back,ctg,01,1202130303,46,"[-0.4224405586719513, -1.0693612098693848, -1.1810413599014282, -1.34068763256073, -1.2024577856063843]",4
sub-01,1back,ctg,01,1020103011,46,"[0.43623214960098267, -0.3634704053401947, -0.3261101543903351, -0.20805929601192474, 0.13158223032951355]",4
sub-01,1back,ctg,01,0100020003,46,"[0.22703959047794342, -0.014474106952548027, 0.08157854527235031, 0.12170557677745819, 0.2839529812335968]",4
sub-01,1back,ctg,01,1130202030,46,"[0.8042187094688416, 0.1295326054096222, 0.135934978723526, 0.20936261117458344, 0.20158635079860687]",4
sub-01,ctxdm,col,02,31110.0,46,"[0.2929098308086395, -0.09081946313381195, -0.14707598090171814]",4
sub-01,ctxdm,col,02,121311.0,46,"[0.29643937945365906, -0.08348505198955536, -0.22912515699863434]",4
sub-01,ctxdm,col,02,10010.0,46,"[0.12644527852535248, -0.13790905475616455, -0.13396959006786346]",4
sub-01,ctxdm,col,02,31002.0,46,"[-0.6382801532745361, 0.04182044789195061, 0.365896612405777]",1
sub-01,ctxdm,col,02,110100.0,46,"[0.9675302505493164, 0.2632487118244171, -0.15324550867080688]",1
sub-01,ctxdm,col,02,100103.0,46,"[0.03889429569244385, -0.38164135813713074, -0.49235329031944275]",4
sub-01,ctxdm,col,02,0302.0,46,"[1.1599843502044678, 0.12385194003582001, 0.1175718903541565]",4
sub-01,ctxdm,col,02,120113.0,46,"[0.6802023649215698, 0.265183687210083, -0.17186039686203003]",4
sub-01,ctxdm,col,02,30002.0,46,"[-0.09463676810264587, 0.6557126641273499, 1.1032044887542725]",1
sub-01,ctxdm,col,02,120212.0,46,"[0.9637644290924072, 0.03526398912072182, 0.30620959401130676]",4
sub-01,ctxdm,col,02,111013.0,46,"[0.602858304977417, 0.9825530648231506, 1.1034536361694336]",1
sub-01,ctxdm,col,02,11213.0,46,"[1.295544147491455, -0.00717798201367259, -0.10945629328489304]",4
sub-01,ctxdm,col,02,10003.0,46,"[0.36693793535232544, -0.22675973176956177, -0.0926806628704071]",4
sub-01,ctxdm,col,02,110201.0,46,"[-0.0672558918595314, -0.19168266654014587, -0.4099002182483673]",3
sub-01,ctxdm,col,02,11101.0,46,"[-0.2482231706380844, -0.5001647472381592, -0.23549890518188477]",3
sub-01,ctxdm,col,02,1003.0,46,"[-0.12471068650484085, -0.12339005619287491, -0.10836786031723022]",3
sub-01,ctxdm,col,02,101213.0,46,"[0.3644762933254242, 0.14774344861507416, 0.17368240654468536]",3
sub-01,ctxdm,lco,02,31110.0,46,"[0.3806082606315613, 0.014071641489863396, -0.16166315972805023]",4
sub-01,ctxdm,lco,02,121311.0,46,"[0.45854318141937256, -0.15697552263736725, -0.0906372219324112]",4
